課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Microsoft Power BI Data Analyst,4.6 out of 5 stars,7.7K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,,"Database Design, Power BI, Microsoft Power Platform, SQL, Microsoft Excel, Data Collection, Data Quality, Data Storage, Statistical Visualization, Data Manipulation, Statistical Reporting, Data Integration","Preparing  Data for Analysis with Microsoft Excel | Harnessing the Power of Data with Power BI | Extract, Transform and Load Data in Power BI | Data Modeling in Power BI | Data Analysis and Visualization with Power BI | Creative Designing in Power BI | Deploy and Maintain Power BI Assets and Capstone project | Microsoft PL-300 Exam Preparation and Practice",,Starts Jul 19,Flexible schedule,"5 months, 10 hours. a weekLearn at your own pace"
Microsoft Power BI and Power Platform for Productivity,4.5 out of 5 stars,544 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-power-bi-and-power-platform-productivity,,"Dashboard, Power BI, Microsoft Power Platform, Extract, Transform, Load, Microsoft Excel, Excel Formulas, Star Schema, Data Transformation, Microsoft Copilot, Data Analysis Expressions (DAX), Data Presentation, Business Intelligence","Data for Analysis with Microsoft Excel | Unlock the Power of Data with Power BI | Data Extract, Transform, and Load in Power BI | Modeling Data in Power BI | Analysis and Visualization of Data with Power BI | Creative Designing in Power BI | Copilot for Power BI | Introduction to Microsoft Power Platform | Use Power Platform for Custom & Automated Solutions | Power Virtual Agents",,Starts Jul 19,4 months,at 10 hours. a week
Data Analysis and Visualization with Power BI,4.7 out of 5 stars,788 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi,5 modules,"Interactive Data Visualization, Data Analysis, Data Visualization, Web Content Accessibility Guidelines, Advanced Analytics, Business Intelligence, Statistical Reporting, Data Visualization Software, Data Storytelling, Data Presentation, Dashboard, Power BI",Creating Reports | Navigation and Accessibility | Bringing Data to the User | Identifying Patterns and Trends | Final project and assessment: Data Analysis and Visualization with Power BI,,Starts Jul 19,Flexible schedule,Approx. 29 hours.Learn at your own pace
From Excel to Power BI,4.5 out of 5 stars,1.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/from-excel-to-power-bi,6 modules,"Microsoft Excel, Data Sharing, Data Manipulation, Data Presentation, Dashboard, Microsoft Power Platform, Data Modeling, Business Intelligence, Data Visualization, Exploratory Data Analysis, Data Analysis, Interactive Data Visualization, Data Transformation, Data Cleansing, Business Analytics, Data Import/Export, Data Visualization Software, Power BI, Key Performance Indicators (KPIs)",Introduction to Power BI | Import and Clean Excel Data in Power BI | Model and Visualize Data in Power BI | Work with Different Types of Visualizations | Work with Dashboards in Power BI Online | Cumulative Assessment,"Keith Gibson, Knowledge Accelerators",Starts Jul 19,Flexible schedule,Approx. 1 hourLearn at your own pace
Microsoft Business Analyst,4.6 out of 5 stars,1.1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-business-analyst,,"Software Development Life Cycle, Pivot Tables And Charts, Requirements Elicitation, Power BI, Microsoft Power Platform, Microsoft Visio, Quality Management, Microsoft Excel, Excel Formulas, Business Analysis, Requirements Analysis, Scrum (Software Development)",Business Analysis Fundamentals | Data for Business Analysts Using Microsoft Excel | Data and Business Process Modeling with Microsoft Visio | Requirements Gathering in Business Analysis | Power Platform in Business Analysis | Project Delivery in Business Analysis and Capstone Project,,Starts Jul 19,3 months,at 10 hours. a week
Microsoft Data Visualization,4.7 out of 5 stars,87 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-data-visualization,,"Database Design, Data Governance, Dashboard, Power BI, Data Cleansing, Extract, Transform, Load, Interactive Data Visualization, Data Architecture, Data Ethics, Data Transformation, Correlation Analysis, Data Analysis Expressions (DAX)",Data Visualization Fundamentals | Data Preparation and Management | Data Modeling and Architecture | Visualization for Data Analysis with Power BI | Building Powerful Reports and Dashboards in Power BI,,Starts Jul 19,4 months,at 10 hours. a week
Power BI for Beginners: Build your First Report,4.5 out of 5 stars,84 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/powerbi-for-beginners-build-your-first-report,,"Interactive Data Visualization, Data Manipulation, Data Import/Export, Business Reporting, Microsoft Power Platform, Data Cleansing, Data Modeling, Power BI, Business Intelligence, Data Presentation, Report Writing, Dashboard, Data Transformation, Data Visualization, Data Storytelling, Data Visualization Software",,"Hussein ElGhoul, Coursera Project Network",,1.25 hours,Learn at your own pace
Power BI Fundamentals,4.9 out of 5 stars,134 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/power-bi-fundamentals,11 modules,"Business Intelligence, Business Reporting, Data Storytelling, Data Visualization Software, Key Performance Indicators (KPIs), Dashboard, Data Transformation, Data Sharing, Data Modeling, Data Analysis, Data Import/Export, Power BI, Data Analysis Expressions (DAX), Sales, Interactive Data Visualization",Getting Started | Power Query | Data Modeling & Basic DAX Measures | Week 1 Challenge | Sales - Visuals & DAX | Cost - Visuals & DAX | User Experience | Week 2 Challenge | Sharing | Course Conclusion | Week 3 Challenge,"CFI (Corporate Finance Institute), Corporate Finance Institute",Starts Jul 19,5 hours to complete,
Advanced Microsoft Power BI,4.4 out of 5 stars,74 reviews,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-microsoft-power-bi,1 module,"Data Visualization Software, Microsoft Power Platform, Data Transformation, Data Modeling, Dashboard, Data Analysis, Interactive Data Visualization, Business Intelligence, Data Integration, Data Cleansing, Microsoft Excel, Power BI, Predictive Analytics, Key Performance Indicators (KPIs)",Advanced features in Power BI,,Starts Jul 19,2 hours to complete,
Data Modeling in Power BI,4.3 out of 5 stars,710 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-modeling-in-power-bi,4 modules,"Data Transformation, Data Visualization, Time Series Analysis and Forecasting, Database Design, Star Schema, Power BI, Performance Tuning, Data Analysis Expressions (DAX), Data Modeling, Data Analysis",Concepts for data modeling | Using Data Analysis Expressions (DAX) in Power BI | Optimize a model for performance in Power BI | Final project and assessment: Modeling data in Power BI,,Starts Jul 19,Flexible schedule,Approx. 24 hours.Learn at your own pace
How To Visualize Your Data Using Microsoft Powerpoint,4.5 out of 5 stars,238 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/microsoft-powerpoint-how-to-customize-your-slides-and-visualize-your-data,,"Video Editing, Microsoft PowerPoint, Data Visualization, Presentations, Data Storytelling",,"Ashraf Badr, Coursera Project Network",,1.3 hours,Learn at your own pace
Google Data Analytics,4.8 out of 5 stars,171K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Tableau Software, Presentations, Sampling (Statistics), Data Cleansing, Applicant Tracking Systems, Interactive Data Visualization, Data Ethics, Rmarkdown, Data Validation, LinkedIn, Data Visualization Software, Data Presentation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",,Starts Jul 19,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
Create Charts and Dashboards Using Microsoft Excel,4.6 out of 5 stars,958 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-charts-dashboards-using-microsoft-excel,,"Spreadsheet Software, Microsoft Excel, Microsoft 365, Data Analysis, Dashboard, Data Visualization, Trend Analysis",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Data Storytelling with Power BI,4.6 out of 5 stars,143 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-storytelling-with-power-bi,5 modules,"Data Presentation, Data Visualization Software, Report Writing, Data Modeling, Data Storytelling, Performance Reporting, Dashboard, Business Intelligence, Data Import/Export, Data Manipulation, Data Analysis Expressions (DAX), Data Cleansing, Interactive Data Visualization, Data Transformation, Power BI, Microsoft Excel",Data Modeling and Transformation | Data Analysis Expression (DAX) | Data Visualization | Power BI Service | Course Wrap Up and Assessment,,Starts Jul 19,17 hours to complete,
