課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Coding for Everyone: C and C++,4.5 out of 5 stars,9.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/coding-for-everyone,,"Game Design, Artificial Intelligence, Software Design Patterns, Computer Science, Graph Theory, Integrated Development Environments, Command-Line Interface, Debugging, Programming Principles, Data Structures, Object Oriented Programming (OOP), Algorithms","C for Everyone: Programming Fundamentals | C for Everyone: Structured Programming | C++ For C Programmers, Part A | C++ For C Programmers, Part B","Ira Pohl, University of California, Santa Cruz",Starts Jul 17,1 month,at 10 hours. a week
Computer Science: Programming with a Purpose,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-programming-java,10 modules,"Algorithms, Data Structures, Computer Programming, Computational Thinking, Programming Principles, Performance Tuning, Java Programming, Computer Science, Debugging, Animations, Object Oriented Programming (OOP), Java",BASIC PROGRAMMING CONCEPTS | CONDITIONALS AND LOOPS | ARRAYS | INPUT AND OUTPUT | FUNCTIONS AND LIBRARIES | RECURSION | PERFORMANCE | ABSTRACT DATA TYPES | CREATING DATA TYPES | PROGRAMMING LANGUAGES,"Robert Sedgewick, Kevin Wayne, Princeton University",Starts Jul 17,,
Medical Billing and Coding Fundamentals,4.8 out of 5 stars,1.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/medical-billing-coding-fundamentals,,"Cultural Sensitivity, Copayment Collection and Processing, Professionalism, Revenue Cycle Management, Anatomy, Cultural Diversity, Electronic Medical Record, Health Information Management and Medical Records, Health Care, Medical Billing and Coding, Pathology, ICD Coding (ICD-9/ICD-10)",Professionalism in Allied Health | Medical Terminology and the Human Body Fundamentals | Medical Billing and Coding Essentials,"Jennifer Zabel, Barbara Westrick",Starts Jul 17,1 month,at 10 hours. a week
Code Yourself! An Introduction to Programming,4.7 out of 5 stars,3.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/intro-programming,5 modules,"Software Development, Software Engineering, Video Game Development, Programming Principles, Computational Thinking, Game Design, Algorithms, Animation and Game Design, Debugging, Software Design, Computer Programming",Your First Computer Program | Code Gone Loopy! | Remixing Games | Reusing Your Code | Think Like a Software Engineer,"Dr Areti Manataki, InÃ©s Friss de Kereki, The University of Edinburgh, Universidad ORT Uruguay",Starts Jul 17,Flexible schedule,Approx. 12 hours.Learn at your own pace
IBM Full Stack Software Developer,4.6 out of 5 stars,56K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"Kubernetes, Object-Relational Mapping, Full-Stack Web Development, Cloud Computing, Software Development Life Cycle, Data Import/Export, Node.JS, Software Architecture, Cloud Computing Architecture, Cascading Style Sheets (CSS), Prompt Engineering, React Redux","Introduction to Software Engineering | Introduction to Cloud Computing | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Django Application Development with SQL and Databases | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Full Stack Application Development Capstone Project | Full Stack Software Developer Assessment | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sachin Jambur, Abhishek Gagneja, Richa Arora, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Yan Luo, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 17,Flexible schedule,"5 months, 10 hours. a weekLearn at your own pace"
Web Design for Everybody: Basics of Web Development & Coding,4.7 out of 5 stars,35K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/web-design,,"Interactive Design, Verification And Validation, HTML and CSS, Web Content Accessibility Guidelines, Usability, Browser Compatibility, Javascript, Web Design and Development, Event-Driven Programming, Responsive Web Design, Wireframing, Application Frameworks",Introduction to HTML5 | Introduction to CSS3 | Interactivity with JavaScript | Advanced Styling with Responsive Design | Web Design for Everybody Capstone,"Charles Russell Severance, Colleen van Lent, Ph.D., University of Michigan",Starts Jul 17,2 months,at 10 hours. a week
Coding Interview Preparation,4.6 out of 5 stars,706 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/coding-interview-preparation,4 modules,"Data Structures, Pseudocode, Computational Logic, Computer Science, Communication, Program Development, Programming Principles, Computational Thinking, Algorithms, Technical Communication, Software Visualization",Introduction to the coding interview | Introduction to Data Structures | Introduction to Algorithms | Final project,Taught by Meta Staff,Starts Jul 17,,
Microsoft Full-Stack Developer,4.5 out of 5 stars,178 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,,"HTML and CSS, Full-Stack Web Development, Graph Theory, C# (Programming Language), CI/CD, Continuous Integration, Role-Based Access Control (RBAC), Debugging, Authentications, .NET Framework, GitHub, SQL",Foundations of Coding Full-Stack | Introduction to Programming With C# | Introduction to Web Development | Blazor for Front-End Development | Back-End Development with .NET | Database Integration and Management | Full-Stack Integration | Security and Authentication | Performance Optimization and Scalability | Data Structures and Algorithms | Deployment and DevOps | Full-Stack Developer Capstone Project,,Starts Jul 17,9 months,at 10 hours. a week
Learn to code with AI,4.6 out of 5 stars,110 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-to-code-with-ai,9 modules,"Debugging, Javascript, Cascading Style Sheets (CSS), HTML and CSS, GitHub, Application Development, Version Control, Machine Learning, Database Application, Computer Programming, Application Deployment, Artificial Intelligence, ChatGPT, Mobile Development, Front-End Web Development, Web Development, Responsive Web Design","ð¨ Build and deploy your first projects with ChatGPT: Part 1 | ð¨ Build and deploy your first projects with ChatGPT: Part 2 | ð¨ Build and deploy your first projects with ChatGPT: Test Your Knowledge | ð¦ Build games, mobile apps, and browser extensions: Part 1 | ð¦ Build games, mobile apps, and browser extensions: Part 2 | ð¦ Build games, mobile apps, and browser extensions: Test Your Knowledge | ð© Build database-powered projects | ð© Build database-powered projects: Test Your Knowledge | Bonus Module: Build Solo Projects","Per Harald Borgen, Guil Hernandez",Starts Jul 17,8 hours to complete,
Microsoft Python Development,4.4 out of 5 stars,301 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Automation, Flask (Web Framework), Cloud Computing, Scripting, Version Control, Generative AI, Data Visualization, Data Cleansing, Debugging, GitHub, DevOps, Agile Methodology",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,,Starts Jul 17,4 months,at 8 hours. a week
Vibe Coding Fundamentals,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/vibe-coding-fundamentals,3 modules,"Computer Programming, Data Security, Development Environment, Debugging, Generative AI, Large Language Modeling, Artificial Intelligence, ChatGPT, Application Development, Prompt Engineering, Application Programming Interface (API), OpenAI",Introduction to Vibe Coding with Artificial Intelligence | Understanding How Vibe Coding Works | Getting Results,"Scott Reed, University of Colorado System",Starts Jul 17,Flexible schedule,Learn at your own pace
Excel Basics for Data Analysis,4.8 out of 5 stars,9.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,5 modules,"Microsoft Excel, Google Sheets, Excel Formulas, Spreadsheet Software, Pivot Tables And Charts, Data Wrangling, Data Analysis, Information Privacy, Data Cleansing, Data Visualization Software, Data Import/Export, Data Manipulation, Data Quality, Data Science",Introduction to Data Analysis Using Spreadsheets | Getting Started with Using Excel Spreadsheets | Cleaning & Wrangling Data Using Spreadsheets | Analyzing Data Using Spreadsheets | Final Project,"Sandip Saha Joy, Steve Ryan",Starts Jul 17,Flexible schedule,Approx. 12 hours.Learn at your own pace
Microsoft Back-End Developer,4.6 out of 5 stars,132 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,,"Graph Theory, C# (Programming Language), Database Management, CI/CD, Continuous Integration, Role-Based Access Control (RBAC), Debugging, Authentications, .NET Framework, Data Structures, SQL, Object Oriented Programming (OOP)",Foundations of Coding Back-End | Introduction to Programming With C# | Back-End Development with .NET | Database Integration and Management | Security and Authentication | Performance Optimization and Scalability | Data Structures and Algorithms | Deployment and DevOps,,Starts Jul 17,6 months,at 10 hours. a week
Meta Front-End Developer,4.7 out of 5 stars,23K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-front-end-developer,,"HTML and CSS, Persona (User Experience), Version Control, Javascript, Usability Testing, Unix Commands, React.js, Responsive Web Design, Cascading Style Sheets (CSS), Front-End Web Development, GitHub, Data Structures",Introduction to Front-End Development | Programming with JavaScript | Version Control | HTML and CSS in depth | React Basics | Advanced React | Principles of UX/UI Design | Front-End Developer Capstone | Coding Interview Preparation,Taught by Meta Staff,Starts Jul 17,Flexible schedule,"7 months, 6 hours. a weekLearn at your own pace"
Microsoft Front-End Developer,4.4 out of 5 stars,105 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-front-end-developer,,"HTML and CSS, Secure Coding, C# (Programming Language), Open Web Application Security Project (OWASP), Javascript, User Interface and User Experience (UI/UX) Design, Debugging, Authentications, UI Components, Programming Principles, User Interface (UI), Front-End Web Development",Foundations of Coding Front-End | Introduction to Programming With C# | Introduction to Web Development | Blazor for Front-End Development | UI/UX Design Principles | Web Application Security,,Starts Jul 17,4 months,at 10 hours. a week
Learn Java Programming,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/learn-java-programming,4 modules,"Software Development, Object Oriented Programming (OOP), Computational Logic, Programming Principles, Java Programming, Java, Computer Programming, Algorithms","Introduction to Learn Java Programming | Elementary Programming | Conditional Statements, Mathematical Functions, Characters and Strings | Open Course Assessment","Christos Chrysoulas, Heriot-Watt University",Starts Jul 17,Flexible schedule,Learn at your own pace
Programming with JavaScript,4.7 out of 5 stars,4.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-with-javascript,5 modules,"Data Structures, Javascript, Jest (JavaScript Testing Framework), Node.JS, Object Oriented Programming (OOP), Event-Driven Programming, Computer Programming, Unit Testing, Programming Principles, Web Applications, Debugging, Package and Software Management, JSON, Front-End Web Development, Program Development, Functional Design",Introduction to Javascript | The Building Blocks of a Program | Programming Paradigms | Testing | End-of-Course Graded Assessment,Taught by Meta Staff,Starts Jul 17,Flexible schedule,Approx. 46 hours.Learn at your own pace
