課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Ethical Hacking Essentials (EHE),4.6 out of 5 stars,559 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ethical-hacking-essentials-ehe,12 modules,"Cybersecurity, Encryption, Authentications, Wireless Networks, Penetration Testing, Mobile Security, Application Security, Security Awareness, Threat Detection, Network Security, Vulnerability Assessments, Internet Of Things, Cloud Security",Information Security Fundamentals | Ethical Hacking Fundamentals | Information Security Threats and Vulnerability Assessment | Password Cracking Techniques and Countermeasures | Social Engineering Techniques and Countermeasures | Network Level Attacks and Countermeasures | Web Application Attacks and Countermeasures | Wireless Attacks and Countermeasures | Mobile Attacks and Countermeasures | IoT and OT Attacks and Countermeasures | Cloud Computing Threats and Countermeasures | Penetration Testing Fundamentals,,Starts Jul 18,Flexible schedule,Approx. 32 hours.Learn at your own pace
IBM Ethical Hacking with Open Source Tools,4.7 out of 5 stars,27 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-ethical-hacking-with-open-source-tools,,"Network Monitoring, Threat Detection, Network Security, Cybersecurity, Cyber Security Policies, Vulnerability Assessments, Vulnerability Scanning, Penetration Testing, Network Analysis, Bash (Scripting Language), Cyber Security Assessment, Vulnerability",Introduction to Ethical Hacking Principles | Ethical Hacking with Kali Linux | Exploitation and Penetration Testing with Metasploit | Network Traffic Analysis with Wireshark | Incident Response and Defense with OpenVAS,"IBM Skills Network Team, Dee Dee Collette, Christo Oehley, Skill-Up EdTech Team, SkillUp EdTech",Starts Jul 18,1 month,at 10 hours. a week
Certified Ethical Hacking (v12),4.7 out of 5 stars,224 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/certified-ethical-hacking-v12-cehv12-exam-prep-course,,"Intrusion Detection and Prevention, Threat Detection, Network Security, Mobile Security, Cloud Computing, Cybersecurity, Cyber Attacks, Penetration Testing, Cyber Security Assessment, Cloud Infrastructure, Malware Protection, Security Testing",Ethical Hacking Fundamentals | System and Network Security | Advanced Cybersecurity | CEH (v12) Practice Projects and Exam Simulators,,Starts Jul 18,2 months,at 3 hours. a week
Foundations of Cybersecurity,4.9 out of 5 stars,35K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/foundations-of-cybersecurity,4 modules,"Cyber Risk, Information Assurance, Security Management, Cybersecurity, Incident Response, Ethical Standards And Conduct, Network Analysis, Cyber Attacks, Security Controls, Security Information and Event Management (SIEM), Data Ethics, Cyber Security Strategy","Welcome to the exciting world of cybersecurity | The evolution of cybersecurity | Protect against threats, risks, and vulnerabilities | Cybersecurity tools and programming languages",,Starts Jul 18,Flexible schedule,Approx. 10 hours.Learn at your own pace
The Complete Ethical Hacking Bootcamp: Beginner To Advanced,4.3 out of 5 stars,36 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-the-complete-ethical-hacking-bootcamp-beginner-to-advanced,,"Intrusion Detection and Prevention, Network Security, Cybersecurity, Vulnerability Assessments, Vulnerability Scanning, Wireless Networks, Scripting, Penetration Testing, Open Web Application Security Project (OWASP), Command-Line Interface, Cyber Security Assessment, Linux Commands",Ethical Hacking Foundations | Intermediate Ethical Hacking Techniques | Advanced Exploitation and Scripting Techniques,Packt - Course Instructors,Starts Jul 18,1 month,at 10 hours. a week
Cybersecurity for Everyone,4.7 out of 5 stars,3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-everyone,6 modules,"Data Security, Enterprise Security, Cybersecurity, Cyber Security Policies, Infrastructure Security, Security Management, Cyber Risk, Cyber Governance, Cyber Attacks, Cyber Security Strategy, Public Safety and National Security, Risk Management, General Networking, Threat Detection, Political Sciences, Computer Security Awareness Training, Vulnerability, Telecommunications, Governance, Security Awareness","Cybersecurity for Everyone:  Defining Cyber, Security, and Cybersecurity Policy (Week 1) | Cybersecurity for Everyone: Evolution of the Internet (Week 2) | Cybersecurity for Everyone: Global Telecommunications Architecture and Governance (Week 3) | Cybersecurity for Everyone: Threat Actors and Their Motivations (Week 4) | Cybersecurity for Everyone: The Hacking Process (Week 5) | Cybersecurity for Everyone: End Effects - Direct and Indirect Consequences (Week 6)","Charles Harry, University of Maryland, College Park",Starts Jul 18,Flexible schedule,Approx. 21 hours.Learn at your own pace
Introduction to Ethical Hacking,3.5 out of 5 stars,13 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-to-ethical-hacking,,"Network Security, Mobile Security, Cybersecurity, Vulnerability Assessments, Vulnerability Scanning, Wireless Networks, Penetration Testing, Open Web Application Security Project (OWASP), Web Applications, Malware Protection, Security Testing, Operating Systems",Introduction to Penetration Testing and Ethical Hacking | Advanced Cybersecurity Techniques | Advanced Cybersecurity Topics,"Jason Crossland, Johns Hopkins University",Starts Jul 18,4 months,at 6 hours. a week
Ethical Hacking,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ethical-hacking,4 modules,"Cybersecurity, Threat Detection, Computer Networking, Network Protocols, Network Security, Cyber Operations, Vulnerability Assessments, Penetration Testing, Vulnerability Scanning, Information Systems Security",MÃ³dulo 1 | MÃ³dulo 2 | MÃ³dulo 3 | MÃ³dulo 4,"Alejandro Garcia Sainz Sours, SAE Institute MÃ©xico",Starts Jul 18,Flexible schedule,Learn at your own pace
Ethical Hacking Fundamentals,4.7 out of 5 stars,161 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/certified-ethical-hacking-v12-ethical-hacking-fundamentals,3 modules,"Data Ethics, Cybersecurity, Network Security, Cyber Attacks, Web Servers, Penetration Testing, Security Engineering, Web Applications, Security Awareness, Cyber Threat Intelligence, Security Testing, Application Security, Network Administration, Cyber Security Assessment, Information Systems Security, Vulnerability Assessments",Course Introduction and Ethical Hacking Fundamentals | Footprinting and Reconnaissance | Social Engineering and Web Security,,Starts Jul 18,6 hours to complete,
Ethical Hacking with Kali Linux,4.9 out of 5 stars,12 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/ethical-hacking-with-kali-linux,5 modules,"Network Monitoring, System Configuration, Virtual Machines, Bash (Scripting Language), Automation",Overview of Kali Linux | Kali Linux Tools | Scripting and Automation | Final Project and Course Wrap-Up | (Optional) Overview of the Linux Operating System,"IBM Skills Network Team, Dee Dee Collette",Starts Jul 18,16 hours to complete,
Kali Linux,4.2 out of 5 stars,200 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/kali-linux,2 modules,"Vulnerability Assessments, Intrusion Detection and Prevention, Linux, Penetration Testing, Software Installation, Network Monitoring, Encryption, Network Security, Cyber Security Assessment, Virtual Private Networks (VPN), Cybersecurity, Network Analysis, Command-Line Interface",Exploring the Basics of Kali Linux | Practical Applications and Security Basics,Board Infinity,Starts Jul 18,4 hours to complete,
Cybersecurity Attack and Defense Fundamentals,4.6 out of 5 stars,729 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurity-attack-and-defense,,"Intrusion Detection and Prevention, Threat Detection, Network Security, Mobile Security, Cybersecurity, Vulnerability Assessments, Authorization (Computing), Wireless Networks, Penetration Testing, Security Awareness, Data Security, Malware Protection",Ethical Hacking Essentials (EHE) | Network Defense Essentials (NDE) | Digital Forensics Essentials (DFE),,Starts Jul 18,5 months,at 5 hours. a week
Security & Ethical Hacking: Attacking the Network,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/security-ethical-hacking-attacking-the-network,5 modules,"Command-Line Interface, Intrusion Detection and Prevention, Computer Networking, Network Analysis, Network Security, Vulnerability Assessments, Virtual Private Networks (VPN), Encryption, Cyber Security Assessment, Penetration Testing, Network Protocols, General Networking, TCP/IP, Network Monitoring","Introductory Concepts | Essential Tooling and Libraries | Recon and Discovery with Nmap | Network Manipulation, Positioning and Practical Attacks/Defenses | Encrypted Tunneling for Remote Attacks with SSH","Ahmed M. Hamza, University of Colorado Boulder",Starts Jul 18,Flexible schedule,Learn at your own pace
"Penetration Testing, Threat Hunting, and Cryptography",4.6 out of 5 stars,2.5K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/ibm-penetration-testing-threat-hunting-cryptography,6 modules,"Network Analysis, Open Web Application Security Project (OWASP), Vulnerability Scanning, Security Testing, Cryptography, Cyber Operations, Cyber Threat Intelligence, Application Security, Encryption, Test Planning, Code Review, Cybersecurity, Vulnerability Assessments, Threat Modeling, Cyber Threat Hunting, MITRE ATT&CK Framework, Penetration Testing, Threat Detection, Threat Management, Security Information and Event Management (SIEM)",Penetration Testing: Planning and Discovery Phases | Penetration Testing: Attack Phase | Penetration Testing: Reporting Phase | Threat Hunting and Threat Intelligence | Cryptography: Principles and Techniques | Final Project and Wrap-Up,"Dr. Manish Kumar, IBM Skills Network Team, Dee Dee Collette",Starts Jul 18,,
IBM and ISC2 Cybersecurity Specialist,4.7 out of 5 stars,13K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,,"Network Security, Computer Security Incident Management, Governance, Cybersecurity, Penetration Testing, Disaster Recovery, Cloud Computing Architecture, Peripheral Devices, Configuration Management, Security Controls, Network Troubleshooting, Computing Platforms","Introduction to Cybersecurity Careers | Introduction to Hardware and Operating Systems | Introduction to Software, Programming, and Databases | Introduction to Networking and Storage | Introduction to Cloud Computing | Introduction to Cybersecurity Essentials | Security Principles | Incident Response, BC, and DR Concepts | Access Control Concepts | Network Security | Security Operations | Cybersecurity Case Studies and Capstone Project","IBM Skills Network Team, Dee Dee Collette, Rav Ahuja, ISC2 Education & Training",Starts Jul 18,Flexible schedule,"3 months, 10 hours. a weekLearn at your own pace"
The Complete Ethical Hacking Course,N/A,N/A,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-the-complete-ethical-hacking-course,,"Network Monitoring, Intrusion Detection and Prevention, Network Security, Cybersecurity, Vulnerability Assessments, Wireless Networks, Cyber Attacks, Open Web Application Security Project (OWASP), Command-Line Interface, Security Awareness, TCP/IP, Linux","Ethical Hacking Foundations & Network Security | Web Security, Social Engineering & External Attacks | Advanced Web Exploits, Python Scripting & Network Attacks | Exploit Development, Malware, & Defensive Strategies",Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace
Introduction to Artificial Intelligence (AI),4.7 out of 5 stars,20K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-ai,4 modules,"Data Governance, Business Ethics, ChatGPT, Computer Science, Natural Language Processing, Business Intelligence, Robotic Process Automation, Generative AI, Content Creation, Risk Mitigation","Introduction and Applications of AI | AI Concepts, Terminology, and Application Domains | Business and Career Transformation Through AI | Issues, Concerns, and Ethical Considerations",Rav Ahuja,Starts Jul 18,Flexible schedule,Approx. 12 hours.Learn at your own pace
Metasploit for Beginners: Ethical Penetration Testing,4.8 out of 5 stars,57 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/metasploit-for-beginners-ethical-penetration-testing,,"Penetration Testing, Cyber Security Assessment, Vulnerability Scanning, Cybersecurity, Command-Line Interface, Technical Communication, Virtual Machines, Linux, Vulnerability Assessments",,"Ryan Nigro, Coursera Project Network",,3,Learn at your own pace
Introduction to Ethical Hacking Principles,4.7 out of 5 stars,17 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-ethical-hacking-principles,1 module,"Technical Writing, Computer Security, Penetration Testing, General Data Protection Regulation (GDPR), Cybersecurity, Information Systems Security, Cyber Security Policies, Data Ethics, Vulnerability Assessments, Vulnerability Management, Information Privacy",Ethical Hacking Principles and Practices,"Skill-Up EdTech Team, Christo Oehley, SkillUp EdTech",Starts Jul 18,4 hours to complete,
Ethical Hacking Foundations & Network Security,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-ethical-hacking-foundations-network-security-7eje3,11 modules,"Cybersecurity, Security Software, Network Analysis, Intrusion Detection and Prevention, Virtual Private Networks (VPN), Encryption, Network Security, Penetration Testing, Virtual Machines, Vulnerability Assessments, System Configuration, Linux Commands, File Management, Software Installation, Wireless Networks, Linux, Command-Line Interface",Course Introduction | Hacking Lab Setup | Kali Linux 101 | Anonymity Online | Dark Web | Network Pentesting | Gathering Information From Networks | Wireless Attacks | Post Connection Attacks | System Pentesting | Pentesting with ChatGPT,Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace
Information Security Analyst,N/A,N/A,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ec-council-information-security-analyst,,"Network Monitoring, Threat Detection, Network Security, Computer Security Incident Management, Mobile Security, Cybersecurity, Cyber Security Policies, Vulnerability Assessments, Penetration Testing, Web Applications, Malware Protection, Vulnerability Management",Information Security Fundamentals | Ethical Hacking Essentials: Hands-On Edition | Network Defense Essentials: Hands-On Edition | Digital Forensics Essentials: Hands-On Edition | Into the Trenches: Security Operations Center,,Starts Jul 18,Flexible schedule,Learn at your own pace
Automate Cybersecurity Tasks with Python,4.8 out of 5 stars,3.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,4 modules,"Python Programming, Automation, Algorithms, Cybersecurity, Cyber Security Assessment, Data Structures, Scripting, Programming Principles, Debugging, Computer Programming, File Management, Integrated Development Environments",Introduction to Python | Write effective Python code | Work with strings and lists | Python in practice,,Starts Jul 18,Flexible schedule,Approx. 24 hours.Learn at your own pace
Exploitation and Penetration Testing with Metasploit,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/exploitation-and-penetration-testing-with-metasploit,5 modules,"Network Security, Security Engineering, Software Installation, Information Systems Security, Penetration Testing, Cyber Threat Intelligence, Vulnerability Assessments, Cybersecurity, Vulnerability",Metasploit Setup and Core Exploitation Techniques | Exploit Development and Auxiliary Module Usage | Post-Exploitation and Attack Simulations | Web and Social Engineering Attacks | Final Project: Simulated Penetration Test Using Metasploit,"IBM Skills Network Team, Christo Oehley",Starts Jul 18,Flexible schedule,Learn at your own pace
Ethical Hacking Foundations,4.2 out of 5 stars,29 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-ethical-hacking-foundations-cacdd,5 modules,"General Networking, Software Installation, Vulnerability Assessments, Command-Line Interface, Virtual Machines, Penetration Testing, Cybersecurity, System Configuration, Linux, Linux Commands, Network Security, Wireless Networks",Introduction | Setting Up a Pentesting Lab | Linux Essentials for Hackers | Networking Tools and Essential Terminology | Passive Information Gathering and Footprinting,Packt - Course Instructors,Starts Jul 18,6 hours to complete,
Introduction to Cybersecurity Tools & Cyberattacks,4.6 out of 5 stars,16K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,5 modules,"Incident Response, Identity and Access Management, Network Security, Security Controls, Infrastructure Security, Threat Detection, Multi-Factor Authentication, Threat Management, Security Awareness, Computer Security Incident Management, Cybersecurity, Cyber Attacks, Distributed Denial-Of-Service (DDoS) Attacks, Malware Protection, Authentications, Authorization (Computing)",Cybersecurity Insights | Cybersecurity Threats | Cybersecurity Controls | Identity and Physical Controls | Final Project and Course Wrap-Up,"IBM Skills Network Team, Dee Dee Collette",Starts Jul 18,,
Put It to Work: Prepare for Cybersecurity Jobs,4.8 out of 5 stars,5.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prepare-for-cybersecurity-jobs,5 modules,"Incident Management, Cybersecurity, Security Awareness, Data Ethics, Artificial Intelligence, Security Management, Data Security, Personally Identifiable Information, Cyber Threat Intelligence, Computer Security Incident Management, Technical Communication, Incident Response",Protect data and communicate incidents | Escalate incidents | Communicate effectively to influence stakeholders | Engage with the cybersecurity community | Use AI to optimize workflows,,Starts Jul 18,Flexible schedule,Approx. 10 hours.Learn at your own pace
AI For Everyone,4.8 out of 5 stars,48K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-for-everyone,4 modules,"Data Ethics, Strategic Thinking, Team Building, Market Opportunities, Data Science, Business Ethics, Artificial Neural Networks, Needs Assessment, Engineering Management, Deep Learning, Artificial Intelligence, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML)",What is AI? | Building AI Projects | Building AI In Your Company | AI and Society,Andrew Ng,Starts Jul 18,Flexible schedule,Approx. 6 hours.Learn at your own pace
Introduction to Penetration Testing and Ethical Hacking,3.3 out of 5 stars,6 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-fundamentals,5 modules,"Threat Modeling, Public Key Infrastructure, Cyber Threat Intelligence, Ethical Standards And Conduct, Technical Writing, Vulnerability Scanning, MITRE ATT&CK Framework, Vulnerability Assessments, Cryptography, Test Tools, Security Testing, Cybersecurity, Encryption, Penetration Testing",Course Introduction | Ideology/Motives/Behaviors (Purpose/Goals) | Penetration Testing Report & Executive Summary | Cryptography and PKI | Information Gathering & Social Engineering,"Jason Crossland, Johns Hopkins University",Starts Jul 18,Flexible schedule,Learn at your own pace
CertNexus Certified Ethical Emerging Technologist,4.7 out of 5 stars,570 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist,,"Communication, Governance, Organizational Leadership, Learning Strategies, Ethical Standards And Conduct, Business Leadership, Crisis Management, Leadership, Corporate Communications, Risk Management, Communication Strategies, Public Relations",Promote the Ethical Use of Data-Driven Technologies | Turn Ethical Frameworks into Actionable Steps | Detect and Mitigate Ethical Risks | Communicate Effectively about Ethical Challenges in Data-Driven Technologies | Create and Lead an Ethical Data-Driven Organization | Preparing for Your CertNexus Certification Exam,"Eleanor 'Nell' Watson, RenÃ©e Cummings, Megan Smith Branch, Tania De Gasperis, Jennifer Fischer, Aaron Hui, Abhishek Gupta",Starts Jul 18,2 months,at 10 hours. a week
Generative AI Fundamentals,4.7 out of 5 stars,7.8K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-for-everyone,,"Artificial Intelligence, Tensorflow, Content Creation, ChatGPT, Business Development, Generative AI, Artificial Neural Networks, Leadership and Management, Business Leadership, IBM Cloud, Prompt Engineering, OpenAI","Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Foundation Models and Platforms | Generative AI: Impact, Considerations, and Ethical Issues | Generative AI: Business Transformation and Career Growth","Rav Ahuja, Antonio Cangiano",Starts Jul 18,1 month,at 5 hours. a week
