課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
"Python for Data Science, AI & Development",4.6 out of 5 stars,42K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,5 modules,"Data Structures, Python Programming, Restful API, Data Import/Export, NumPy, File Management, Programming Principles, Object Oriented Programming (OOP), Jupyter, Computer Programming, Data Analysis, Web Scraping, Application Programming Interface (API), Data Manipulation, Pandas (Python Package)",Python Basics | Python Data Structures | Python Programming Fundamentals | Working with Data in Python | APIs and Data Collection,Joseph Santarcangelo,Starts Jul 19,Flexible schedule,Approx. 25 hours.Learn at your own pace
IBM Data Science,4.6 out of 5 stars,145K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Dashboard, Exploratory Data Analysis, Unsupervised Learning, Data Cleansing, Generative AI, Supervised Learning, SQL, Data Mining, Jupyter, Interactive Data Visualization, Data Wrangling, Professional Networking","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman",Starts Jul 19,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
What is Data Science?,4.7 out of 5 stars,76K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/what-is-datascience,4 modules,"Data Mining, Data Analysis, Data Science, Machine Learning, Artificial Intelligence, Cloud Computing, Big Data, Data-Driven Decision-Making, Data Literacy, Deep Learning, Digital Transformation",Defining Data Science and What Data Scientists Do | Data Science Topics | Applications and Careers in Data Science | Data literacy for Data Science (Optional),"Rav Ahuja, Alex Aklson",Starts Jul 19,Flexible schedule,Approx. 11 hours.Learn at your own pace
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"Stored Procedure, Pandas (Python Package), Relational Databases, Databases, Query Languages, Database Design, Data Manipulation, Data Analysis, Jupyter, Database Management, SQL, Python Programming, Transaction Processing",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan",Starts Jul 19,Flexible schedule,Approx. 18 hours.Learn at your own pace
Data Science,4.5 out of 5 stars,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/jhu-data-science,,"Shiny (R Package), R Programming, Exploratory Data Analysis, Data Cleansing, Machine Learning, Leaflet (Software), Predictive Modeling, Version Control, Data Science, Data Wrangling, Regression Analysis, Data Manipulation",The Data Scientistâs Toolbox | R Programming | Getting and Cleaning Data | Exploratory Data Analysis | Reproducible Research | Statistical Inference | Regression Models | Practical Machine Learning | Developing Data Products | Data Science Capstone,"Roger D. Peng, PhD, Brian Caffo, PhD, Jeff Leek, PhD, Johns Hopkins University",Starts Jul 19,7 months,at 10 hours. a week
Foundations of Data Science,4.7 out of 5 stars,3.3K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/foundations-of-data-science,5 modules,"Communication Strategies, Data Storytelling, Business Ethics, Analytical Skills, Workflow Management, Project Management, Business Analytics, Data Literacy, Data Ethics, Analytics, Data Analysis, Data Science, Stakeholder Communications, Machine Learning, Communication, Data-Driven Decision-Making",Introduction to data science concepts | The impact of data today | Your career as a data professional | Data applications and workflow | Course 1 end-of-course project,,Starts Jul 19,Flexible schedule,Approx. 15 hours.Learn at your own pace
Python Project for Data Science,4.5 out of 5 stars,4.7K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-project-for-data-science,1 module,"Python Programming, Pandas (Python Package), Data Visualization Software, Data Processing, Data Science, Matplotlib, Dashboard, Data Analysis, Data Manipulation, Jupyter, Data Collection, Web Scraping",Crowdsourcing Short squeeze Dashboard,"Azim Hirjani, Joseph Santarcangelo",Starts Jul 19,Flexible schedule,Approx. 8 hours.Learn at your own pace
Applied Data Science with Python,4.5 out of 5 stars,34K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-python,,"Supervised Learning, Scientific Visualization, Natural Language Processing, Applied Machine Learning, Jupyter, Interactive Data Visualization, Feature Engineering, Graph Theory, Statistical Visualization, Network Model, Pandas (Python Package), Network Analysis","Introduction to Data Science in Python | Applied Plotting, Charting & Data Representation in Python | Applied Machine Learning in Python | Applied Text Mining in Python | Applied Social Network Analysis in Python","Christopher Brooks, Kevyn Collins-Thompson, Daniel Romero, V. G. Vinod Vydiswaran, University of Michigan",Starts Jul 19,4 months,at 10 hours. a week
Introduction to Data Science,4.6 out of 5 stars,100K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-data-science,,"Database Design, Data Analysis Software, Data Cleansing, SQL, Software Development Tools, Data Mining, Big Data, Cloud Computing, Jupyter, Computer Programming Tools, Query Languages, Databases",What is Data Science? | Tools for Data Science | Data Science Methodology | Databases and SQL for Data Science with Python,"Romeo Kienzler, Polong Lin, Alex Aklson, Rav Ahuja, Hima Vasudevan, Aije Egwaikhide, Svetlana Levitan",Starts Jul 19,1 month,at 10 hours. a week
Google Data Analytics,4.8 out of 5 stars,171K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Tableau Software, Presentations, Sampling (Statistics), Data Cleansing, Applicant Tracking Systems, Interactive Data Visualization, Data Ethics, Rmarkdown, Data Validation, LinkedIn, Data Visualization Software, Data Presentation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",,Starts Jul 19,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
Data Science Foundations,4.6 out of 5 stars,114K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-foundations,,"Dashboard, Unsupervised Learning, Machine Learning, Predictive Modeling, Data Mining, Jupyter, Computer Programming Tools, Data Science, Web Scraping, Pandas (Python Package), Correlation Analysis, Pseudocode","The Data Science Profession â Student View | What is Data Science? | Tools for Data Science | Problems, Algorithms and Flowcharts | Python for Data Science, AI & Development | Statistics and Clustering in Python | Data Science Project Capstone: Predicting Bicycle Rental | Python Project for Data Science","Romeo Kienzler, Robert Zimmer, Joseph Santarcangelo, Alex Aklson, Rav Ahuja, Azim Hirjani, Aije Egwaikhide, Svetlana Levitan, University of London",Starts Jul 19,3 months,at 10 hours. a week
Data Science Fundamentals with Python and SQL,4.6 out of 5 stars,72K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,,"Probability Distribution, Data Analysis Software, Descriptive Statistics, Dashboard, SQL, Data Structures, Jupyter, Computer Programming Tools, Databases, Statistics, Data Science, Regression Analysis","Tools for Data Science | Python for Data Science, AI & Development | Python Project for Data Science | Statistics for Data Science with Python | Databases and SQL for Data Science with Python","Murtaza Haider, Romeo Kienzler, Joseph Santarcangelo, Rav Ahuja, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Svetlana Levitan",Starts Jul 19,Flexible schedule,"2 months, 10 hours. a weekLearn at your own pace"
