課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Generative AI: Introduction and Applications,4.7 out of 5 stars,2.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-introduction-and-applications,3 modules,"Artificial Intelligence, Image Analysis, Generative AI, Program Development, Large Language Modeling, Prompt Engineering, OpenAI, Virtual Environment, ChatGPT, Content Creation","Introduction and Capabilities of Generative AI | Applications and Tools of Generative AIÂ | Course Quiz, Project, and Wrap-up",Rav Ahuja,Starts Jul 19,,
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"Prompt Engineering, IBM Cloud, Large Language Modeling, ChatGPT","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja",Starts Jul 19,Flexible schedule,Approx. 9 hours.Learn at your own pace
Prompt Engineering for ChatGPT,4.8 out of 5 stars,6.2K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,6 modules,"ChatGPT, Productivity, Problem Solving, Large Language Modeling, Ingenuity, Brainstorming, Collaboration, Prompt Engineering, Application Development, Artificial Intelligence, Generative AI, Creative Thinking",Course Introduction | Introduction to Prompts | Prompt Patterns I | Few-Shot Examples | Prompt Patterns II | Prompt Patterns III,"Dr. Jules White, Vanderbilt University",Starts Jul 19,Flexible schedule,Approx. 18 hours.Learn at your own pace
Generative AI for Everyone,4.8 out of 5 stars,3.8K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-for-everyone,3 modules,"Prompt Engineering, Large Language Modeling, Cloud Applications, Automation, Ethical Standards And Conduct, Artificial Intelligence and Machine Learning (AI/ML), ChatGPT, OpenAI, Generative AI, Artificial Intelligence, Business Process Automation",Introduction to Generative AI | Generative AI Projects | Generative AI in Business and Society,Andrew Ng,Starts Jul 19,Flexible schedule,Approx. 5 hours.Learn at your own pace
Generative AI with Large Language Models,4.8 out of 5 stars,3.4K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-with-llms,3 modules,"Performance Metric, Applied Machine Learning, Application Deployment, ChatGPT, Scalability, Reinforcement Learning, Natural Language Processing, Generative AI, Deep Learning, Performance Tuning, Tensorflow, PyTorch (Machine Learning Library), Machine Learning, OpenAI, Python Programming, Artificial Intelligence and Machine Learning (AI/ML), Large Language Modeling, Prompt Engineering",Week 1 | Week 2 | Week 3,"Chris Fregly, Antje Barth, Shelbee Eigenbrode, Mike Chambers, Amazon Web Services",Starts Jul 19,Flexible schedule,Approx. 16 hours.Learn at your own pace
Generative AI Leader,4.6 out of 5 stars,90 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/generative-ai-for-leaders,,"Unstructured Data, Data Governance, Google Workspace, Data Management, Generative AI, Prompt Engineering, Generative AI Agents, Cloud Solutions, Workflow Management, Cloud Computing, Artificial Intelligence, Productivity Software",Gen AI: Beyond the Chatbot | Gen AI: Unlock Foundational Concepts | Gen AI: Navigate the Landscape | Gen AI Apps: Transform Your Work | Gen AI Agents: Transform Your Organization,"Google Cloud Training, Google Cloud",Starts Jul 19,1 month,at 2 hours. a week
IBM Generative AI Engineering,4.6 out of 5 stars,89K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,,"PyTorch (Machine Learning Library), Exploratory Data Analysis, Unsupervised Learning, Data Cleansing, ChatGPT, Data Import/Export, Generative AI, Prompt Engineering, Supervised Learning, Unit Testing, Jupyter, Deep Learning","Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Data Analysis with Python | Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain","IBM Skills Network Team, Sina Nazeri, Abhishek Gagneja, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Joseph Santarcangelo, Alex Aklson, Rav Ahuja, Antonio Cangiano, Roodra Pratap Kanwar, Ramesh Sannareddy, Jeff Grossman",Starts Jul 19,6 months,at 6 hours. a week
IBM RAG and Agentic AI,4.5 out of 5 stars,63 reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai,,"Data Governance, Artificial Intelligence and Machine Learning (AI/ML), Generative AI, OpenAI, Prompt Engineering, Generative AI Agents, Application Development, Agentic systems, Databases, Artificial Intelligence, Database Management, NoSQL","Develop Generative AI Applications: Get Started | Build RAG Applications: Get Started | Vector Databases for RAG: An Introduction | Advanced RAG with Vector Databases and Retrievers | Build Multimodal Generative AI Applications | Fundamentals of Building AI Agents | Agentic AI with LangChain and LangGraph | Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI","IBM Skills Network Team, Wojciech 'Victor' Fulmyk, Faranak Heidari, Kunal Makwana, Karan Goswami, Hailey Quach, Joseph Santarcangelo, Martin Keen",Starts Jul 19,2 months,at 3 hours. a week
Introduction to Generative AI,4.7 out of 5 stars,8K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-generative-ai,1 module,"Artificial Intelligence, Application Development, Google Cloud Platform, Generative AI, Machine Learning Methods",Introduction to Generative AI,"Google Cloud Training, Google Cloud",Starts Jul 19,Flexible schedule,Approx. 1 hourLearn at your own pace
Generative AI Automation,4.8 out of 5 stars,7.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-automation,,"Productivity, Ideation, ChatGPT, Generative AI, OpenAI, Prompt Engineering, Verification And Validation, Microsoft Excel, Organizational Skills, Computer Vision, Image Analysis, Artificial Intelligence",Prompt Engineering for ChatGPT | ChatGPT Advanced Data Analysis | Trustworthy Generative AI | GPT Vision: Seeing the World through Generative AI,"Dr. Jules White, Vanderbilt University",Starts Jul 19,1 month,at 10 hours. a week
