課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Prompt Engineering for ChatGPT,4.8 out of 5 stars,6.2K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,6 modules,"Application Development, Large Language Modeling, Problem Solving, Artificial Intelligence, ChatGPT, Generative AI, Productivity, Collaboration, Brainstorming, Prompt Engineering, Creative Thinking, Ingenuity",Course Introduction | Introduction to Prompts | Prompt Patterns I | Few-Shot Examples | Prompt Patterns II | Prompt Patterns III,"Dr. Jules White, Vanderbilt University",Starts Jul 16,Flexible schedule,Approx. 18 hours.Learn at your own pace
Generative AI: Prompt Engineering Basics,4.8 out of 5 stars,5.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,3 modules,"ChatGPT, Large Language Modeling, Prompt Engineering, IBM Cloud","Prompt Engineering for Generative AI | Prompt Engineering: Techniques and Approaches | Course Quiz, Project, and Wrap-up","Antonio Cangiano, Rav Ahuja",Starts Jul 16,,
ChatGPT - Usos y Estrategias,4.9 out of 5 stars,1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chat-gpt,4 modules,"Natural Language Processing, ChatGPT, Prompt Engineering, Generative AI, Innovation, Artificial Intelligence, Ethical Standards And Conduct, Creativity, Productivity, Critical Thinking, Data Ethics","Tema 1. Historia y fundamentos de la Inteligencia Artificial, la esencia de ChatGPT | Tema 2. Conceptos clave para la utilizaciÃ³n efectiva de ChatGPT | Tema 3. Implementando ChatGPT responsablemente en la educaciÃ³n y el ambiente laboral | Tema 4. Consideraciones Ã©ticas, capacidades y limitaciones de ChatGPT","Olaf RomÃ¡n, Luis Fernando MorÃ¡n Mirabal, TecnolÃ³gico de Monterrey",Starts Jul 16,Flexible schedule,Approx. 18 hours.Learn at your own pace
ChatGPT: Master Free AI Tools to Supercharge Productivity,4.8 out of 5 stars,6.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,,"Productivity, Communication, Generative AI, Travel Arrangements, ChatGPT, Prompt Engineering, Brainstorming, Scenario Testing, Creative Thinking, Productivity Software, AI Personalization, Marketing",Prompt Engineering for ChatGPT | Advanced Prompt Engineering for Everyone | OpenAI GPTs: Creating Your Own Custom AI Assistants,"Dr. Jules White, Vanderbilt University",Starts Jul 16,1 month,at 10 hours. a week
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-excel,,"Productivity, Pivot Tables And Charts, Generative AI, ChatGPT, Prompt Engineering, Data Cleansing, Microsoft Excel, Data Synthesis, Productivity Software, Data Integration, Data Visualization, Excel Formulas","ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT + Excel: Master AI-driven Formulas & Visualizations | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University",Starts Jul 16,1 month,at 3 hours. a week
ChatGPT for Project Management - Leveraging AI for Success,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-project-management,,"Productivity, Project Implementation, Project Risk Management, Generative AI, ChatGPT, Prompt Engineering, Milestones (Project Management), Risk Analysis, Creative Thinking, Workflow Management, Business Metrics, Project Schedules","ChatGPT for Project Management: Execution, Tracking, Success | Prompt Engineering for ChatGPT | ChatGPT for Project Management: Insight, Planning, & Success","Dr. Jules White, Vanderbilt University",Starts Jul 16,1 month,at 10 hours. a week
ChatGPT Advanced Data Analysis,4.8 out of 5 stars,817 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/chatgpt-advanced-data-analysis,5 modules,"Artificial Intelligence, Problem Solving, ChatGPT, Document Management, Data Presentation, Prompt Engineering, Information Management, Generative AI, Microsoft Excel, Automation, Creativity, Data Analysis, File Management","Introduction to ChatGPT Advanced Data Analysis | Introduction to ChatGPT Advanced Data Analysis Use Cases | Tackle the Right Problems: Appropriate Use of ChatGPT Advanced Data Analysis | Human and AI Process Planning in ChatGPT Advanced Data Analysis | Error Identification Techniques, Error Handling, and Techniques for Large Documents & Outputs","Dr. Jules White, Vanderbilt University",Starts Jul 16,Flexible schedule,Approx. 10 hours.Learn at your own pace
Generative AI: Introduction and Applications,4.7 out of 5 stars,2.8K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-introduction-and-applications,3 modules,"Generative AI, Content Creation, Large Language Modeling, Virtual Environment, Prompt Engineering, Program Development, Image Analysis, OpenAI, Artificial Intelligence, ChatGPT","Introduction and Capabilities of Generative AI | Applications and Tools of Generative AIÂ | Course Quiz, Project, and Wrap-up",Rav Ahuja,Starts Jul 16,Flexible schedule,Approx. 7 hours.Learn at your own pace
OpenAI GPTs: Creating Your Own Custom AI Assistants,4.8 out of 5 stars,469 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/openai-custom-gpts,3 modules,"Personalized Service, Scenario Testing, Productivity Software, Expense Management, AI Personalization, Innovation, ChatGPT, Prompt Engineering, Generative AI, Travel Arrangements, Artificial Intelligence",Custom GPTs Fundamentals | THINK: Create Great GPTs (Part I) | THINK: Create Great GPTs (Part II),"Dr. Jules White, Vanderbilt University",Starts Jul 16,Flexible schedule,Approx. 7 hours.Learn at your own pace
Innovative Teaching with ChatGPT,4.8 out of 5 stars,554 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/chatgpt-innovative-teaching,1 module,"ChatGPT, Interactive Design, AI Personalization, Education Software and Technology, Game Design, Innovation, Brainstorming, Prompt Engineering, Student Engagement, Creative Problem-Solving",Introduction,"Dr. Jules White, Vanderbilt University",Starts Jul 16,Flexible schedule,Approx. 2 hours.Learn at your own pace
