課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Java Programming and Software Engineering Fundamentals,4.6 out of 5 stars,22K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-programming,,"Javascript, Java Programming, Software Design Patterns, Java, Debugging, Object Oriented Programming (OOP), Hypertext Markup Language (HTML), Data Structures, AI Personalization, HTML and CSS, Cascading Style Sheets (CSS), Algorithms","Programming Foundations with JavaScript, HTML and CSS | Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Java Programming: Principles of Software Design | Java Programming: Build a Recommendation System","Andrew D. Hilton, Robert Duvall, Susan H. Rodger, Owen Astrachan, Duke University",Starts Jul 18,,
Core Java,4.6 out of 5 stars,2.7K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/core-java,,"Object Oriented Design, Java Programming, Software Installation, Java, Debugging, Development Environment, Object Oriented Programming (OOP), Spring Framework, Data Structures, Integrated Development Environments, Eclipse (Software), Software Design",Introduction to Java | Introduction to Object-Oriented Programming with Java | Object-Oriented Hierarchies in Java | Java Class Library,"Evan Bergman, Noel J. Bergman",Starts Jul 18,2 months,at 10 hours. a week
Learn Java Programming,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/learn-java-programming,4 modules,"Computer Programming, Computational Logic, Algorithms, Java, Software Development, Object Oriented Programming (OOP), Java Programming, Programming Principles","Introduction to Learn Java Programming | Elementary Programming | Conditional Statements, Mathematical Functions, Characters and Strings | Open Course Assessment","Christos Chrysoulas, Heriot-Watt University",Starts Jul 18,Flexible schedule,Learn at your own pace
Introduction to Java,4.6 out of 5 stars,2.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/java-introduction,3 modules,"Software Installation, Program Development, Eclipse (Software), Integrated Development Environments, Java Programming, Programming Principles, Java, Object Oriented Programming (OOP), Development Environment, Computer Programming",Welcome to Java | Java Language Fundamentals - Types | Java Language Fundamentals - Flow Control,Evan Bergman,Starts Jul 18,Flexible schedule,Approx. 11 hours.Learn at your own pace
Object Oriented Programming in Java,4.6 out of 5 stars,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/object-oriented-programming,,"Java Programming, Java, Debugging, Object Oriented Programming (OOP), Data Structures, Event-Driven Programming, Unit Testing, Performance Tuning, Algorithms, Data Analysis, Software Design, Interactive Data Visualization","Java Programming: Solving Problems with Software | Java Programming: Arrays, Lists, and Structured Data | Object Oriented Programming in Java | Data Structures and Performance","Leo Porter, Andrew D. Hilton, Robert Duvall, Christine Alvarado, Mia Minnes, Susan H. Rodger, Owen Astrachan, University of California San Diego, Duke University",Starts Jul 18,6 months,at 10 hours. a week
IBM Java Developer,4.6 out of 5 stars,5.8K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/java-developer,,"Cloud-Native Computing, Java Programming, Software Development Life Cycle, Software Architecture, Software Development, Version Control, Large Language Modeling, Git (Version Control System), Hibernate (Java), Object Oriented Programming (OOP), Database Management, Database Design","Introduction to Software Engineering | Java Programming for Beginners | Getting Started with Git and GitHub | Object Oriented Programming in Java | Introduction to HTML, CSS, & JavaScript | Cloud Native, Microservices, Containers, DevOps and Agile | Spring Framework for Java Development | Java Development with DatabasesÂ | Java Development Capstone Project | Software Developer Career Guide and Interview Preparation | Generative AI:Â Elevate your Software Development Career","IBM Skills Network Team, Michelle Saltoun, Muhammad Yahya, Skill-Up EdTech Team, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Bethany Hudnutt, Ramanujam Srinivasan, SkillUp EdTech",Starts Jul 18,3 months,at 10 hours. a week
Java Programming: Solving Problems with Software,4.6 out of 5 stars,8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/java-programming,5 modules,"Integrated Development Environments, Algorithms, Java Programming, Java, Computer Programming, Debugging, Object Oriented Programming (OOP), Software Testing, Software Design, Problem Solving, Data Processing, Data Analysis, Statistical Analysis",Introduction to the Course | Fundamental Java Syntax and Semantics | Strings in Java | CSV Files and Basic Statistics in Java | MiniProject: Baby Names,"Owen Astrachan, Robert Duvall, Andrew D. Hilton, Susan H. Rodger, Duke University",Starts Jul 18,Flexible schedule,Approx. 18 hours.Learn at your own pace
Oracle Java Foundations,4.8 out of 5 stars,20 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/oracle-java-foundations,2 modules,"Object Oriented Programming (OOP), Integrated Development Environments, Computer Programming, Cloud Development, Oracle Cloud, Development Environment, Java",Java Programming Fundamentals | Object Oriented Programming in Java,Rohit Rahi,Starts Jul 18,8 hours to complete,
Java FullStack Developer,4.4 out of 5 stars,696 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/java-fullstack,,"Javascript, Web Applications, Object Oriented Design, Java Programming, Angular, Front-End Web Development, Java, JavaScript Frameworks, Object Oriented Programming (OOP), Spring Framework, Hypertext Markup Language (HTML), Spring Boot",Fundamentals of Java Programming | Frontend for Java Full Stack Development | Data Structures & Backend with Java,Board Infinity,Starts Jul 18,3 months,at 5 hours. a week
Object Oriented Programming in Java,4.7 out of 5 stars,5.8K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/object-oriented-java,6 modules,"Interactive Data Visualization, Computer Programming, Event-Driven Programming, Software Engineering, Debugging, Java Programming, Object Oriented Programming (OOP), Java, Algorithms, Data Structures, User Interface (UI), Software Documentation","Welcome and Project Overview: Visualizing Data | Memory Models, Scope, and Starting the Project | Graphical output: Creating GUIs and Displaying Data | Inheritance | GUIs: Responding to User Events | Searching and Sorting: From Code to Algorithms","Mia Minnes, Leo Porter, Christine Alvarado, University of California San Diego",Starts Jul 18,,
Object Oriented Java Programming: Data Structures and Beyond,4.7 out of 5 stars,7.2K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/java-object-oriented,,"Graph Theory, Object Oriented Design, Java Programming, Adaptability, Java, Technical Communication, Object Oriented Programming (OOP), Data Structures, Event-Driven Programming, Unit Testing, Performance Tuning, Algorithms",Object Oriented Programming in Java | Data Structures and Performance | Advanced Data Structures in Java | Mastering the Software Engineering Interview | Capstone: Analyzing (Social) Network Data,"Leo Porter, Christine Alvarado, Mia Minnes, University of California San Diego",Starts Jul 18,4 months,at 10 hours. a week
Fundamentals of Java Programming,4.4 out of 5 stars,532 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fundamentals-of-java-programming,3 modules,"Java, Object Oriented Programming (OOP), Integrated Development Environments, Java Programming, Virtual Machines, Computer Programming, Eclipse (Software), Development Environment, Object Oriented Design, Algorithms, Programming Principles",Java Fundamentals | Core Java | OOPS and Other Essential Concepts,Board Infinity,Starts Jul 18,Flexible schedule,Approx. 18 hours.Learn at your own pace
Object Oriented Programming in Java,4.7 out of 5 stars,5.8K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/object-oriented-java,6 modules,"Interactive Data Visualization, Computer Programming, Event-Driven Programming, Software Engineering, Debugging, Java Programming, Object Oriented Programming (OOP), Java, Algorithms, Data Structures, User Interface (UI), Software Documentation","Welcome and Project Overview: Visualizing Data | Memory Models, Scope, and Starting the Project | Graphical output: Creating GUIs and Displaying Data | Inheritance | GUIs: Responding to User Events | Searching and Sorting: From Code to Algorithms","Mia Minnes, Leo Porter, Christine Alvarado, University of California San Diego",Starts Jul 18,Flexible schedule,Approx. 39 hours.Learn at your own pace
Computer Science: Programming with a Purpose,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-programming-java,10 modules,"Object Oriented Programming (OOP), Computer Programming, Algorithms, Animations, Java Programming, Java, Computer Science, Data Structures, Performance Tuning, Programming Principles, Debugging, Computational Thinking",BASIC PROGRAMMING CONCEPTS | CONDITIONALS AND LOOPS | ARRAYS | INPUT AND OUTPUT | FUNCTIONS AND LIBRARIES | RECURSION | PERFORMANCE | ABSTRACT DATA TYPES | CREATING DATA TYPES | PROGRAMMING LANGUAGES,"Robert Sedgewick, Kevin Wayne, Princeton University",Starts Jul 18,Flexible schedule,Approx. 88 hours.Learn at your own pace
Programming with Java,4.3 out of 5 stars,57 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/programming-with-java,4 modules,"Debugging, Object Oriented Design, Software Development, Object Oriented Programming (OOP), Data Import/Export, Maintainability, Java, File Management",Advanced OOP concepts | Defensive programming: Error handling | File handling | Final project and assessment: Programming with Java,,Starts Jul 18,26 hours to complete,
Java Programming for Beginners,4.9 out of 5 stars,36 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/java-for-programming-beginners,5 modules,"Software Installation, Object Oriented Programming (OOP), Java, Computer Programming, Data Structures, Integrated Development Environments, Application Development, Programming Principles, Development Environment, Java Programming",Introduction to the Java Environment and Ecosystem | Building Blocks of Java Programming | Control Structures and String Handling | Robust Exception Handling | Final Project and Course Wrap-Up,"IBM Skills Network Team, Ramanujam Srinivasan",Starts Jul 18,,
